key,description,text
profile.chartDescription,"UI string from profile.chartDescription",""Trên: Xu hướng Điểm Tổng thể; Dưới: Xu hướng Độ chính xác. Đầu tiên"
profile.classCode,"UI string from profile.classCode","Κωδικός Μαθήματος"
profile.classCodePlaceholder,"UI string from profile.classCodePlaceholder"," просто избегайте дубликатов.""
profile.classCodeTooltip,"UI string from profile.classCodeTooltip",""Уникальный на сайте (3–50 символов; не может содержать /). Используется для соревнований и группировки в таблице лидеров; можно добавить до 5. Учителя могут создавать новые коды; после создания они будут автоматически добавлены (не автоматически"
recentValue,"UI string from recentValue","Πρόσφατα {{value}} {{trend}}"
recordNumber,"UI string from recordNumber","Item {{number}}"
relativeScale,"UI string from relativeScale","Scara relativă: Verde ≤30% · Galben ≤70% · Roșu ＞70% (relativ la cheia de eroare cea mai mare; calculată pe baza ratei de eroare "cumulative cele mai recente")"
result.accuracyTooltip,"UI string from result.accuracyTooltip",""Точность = Правильные символы ÷ Всего символов в подсказке. Примечание: Не введенные символы также учитываются в общем количестве символов"
result.chartDescription,"UI string from result.chartDescription"," tingkatkan akurasi"
result.scoreTooltip,"UI string from result.scoreTooltip","النتيجة المركبة = سرعة الإدخال المحسوبة بناءً على الأحرف الصحيحة فقط. طريقة الحساب: السرعة (WPM/CPM) × معدل الدقة. الغرض: لتحقيق استقرار معدل الدقة أولاً، ثم زيادة السرعة تدريجياً."
section1.gameData.content,"UI string from section1.gameData.content"," le temps pris"
section1.gameData.title,"UI string from section1.gameData.title","Δεδομένα Παιχνιδιού:"
section1.googleAuth.content,"UI string from section1.googleAuth.content","當您使用 Google 帳戶登錄時，我們將僅使用 Google 的身份驗證服務來驗證您的身份並為您創建一個唯一的匿名用戶 ID。我們不會主動請求、訪問或存儲您 Google 帳戶中的任何個人隱私數據，例如您的真實姓名或地址。"
section1.googleAuth.title,"UI string from section1.googleAuth.title","Αυθεντικοποίηση Σύνδεσης με Google:"
section1.principle,"UI string from section1.principle",""Vi overholder princippet om forenkling og indsamler kun de data"
section1.technicalData.googleAdsense,"UI string from section1.technicalData.googleAdsense",""Google AdSense (Reklamy): W przyszłości możemy używać Google AdSense do wyświetlania reklam"
section1.technicalData.googleAnalytics,"UI string from section1.technicalData.googleAnalytics"," le système d'exploitation"
section1.technicalData.title,"UI string from section1.technicalData.title","Datele tehnice colectate automat de servicii terțe:"
section1.title,"UI string from section1.title",""1. Typer af data"
section1.voluntaryInfo.content,"UI string from section1.voluntaryInfo.content"," votre langue ou votre région. Ces informations ne sont pas obligatoires et sont principalement destinées à optimiser les recommandations de la banque de questions"
section1.voluntaryInfo.title,"UI string from section1.voluntaryInfo.title","Χρήστης παρείχε εθελοντικά μη ακριβείς πληροφορίες (προαιρετικό):"
section2.coreFunction,"UI string from section2.coreFunction"," historische Diagramme bereitzustellen und globale Bestenlisten anzuzeigen.""
section2.experienceOptimization,"UI string from section2.experienceOptimization"," dan informasi lAIn yang Anda berikan secara sukarela akan digunakan untuk mencocokkan Anda dengan set pertanyaan latihan mengetik yang lebih sesuAI.""
section2.serviceMaintenance,"UI string from section2.serviceMaintenance","Servicevedlikehold: De tekniske dataene samlet inn gjennom Google Analytics hjelper oss med å forstå nettstedets ytelse og fikse potensielle problemer."
section2.statisticalAnalysis,"UI string from section2.statisticalAnalysis","Statistisk analyse: Vi vil anonymisere og aggregere all informasjon som brukerne frivillig gir for å forstå den overordnede profilen til brukergruppen og forbedre tjenestene våre."
section2.title,"UI string from section2.title","2. Πώς χρησιμοποιούμε τα δεδομένα σας"
section3.crossBorderTransfer,"UI string from section3.crossBorderTransfer"," dass Ihre Daten auf diesen ausländischen Servern übertragen"
section3.dataRetention,"UI string from section3.dataRetention"," мы не можем гарантировать постоянное хранение данных. Мы оставляем за собой право удалять некоторые или все пользовательские данные без предварительного уведомления.""
section3.storageLocation,"UI string from section3.storageLocation"," в то время как ваши игровые данные и предоставленная вами информация хранятся в базе данных на Google Firebase.""
section3.title,"UI string from section3.title","3. Αποθήκευση Δεδομένων και Διασυνοριακή Μεταφορά"
section4.advertisingCookies,"UI string from section4.advertisingCookies"," Google utilizzerà i cookie per mostrare annunci. Puoi visitare la pagina delle impostazioni degli annunci di Google (https://adssettings.google.com/) in qualsiasi momento per gestire o disattivare gli annunci personalizzati.""
section4.functionalCookies,"UI string from section4.functionalCookies","Toiminnalliset evästeet: Käytämme evästeitä ylläpitääksemme kirjautumistilaasi."
section4.title,"UI string from section4.title","4. Σχετικά με τα Cookies και τη Διαφήμιση"
section5.contactChannel,"UI string from section5.contactChannel"," correzione o cancellazione)"
section5.githubLink,"UI string from section5.githubLink","https://github.com/yveschen001/typesprout-pubic/issues"
section5.importantReminder,"UI string from section5.importantReminder"," votre vrAI nom ou des captures d'écran de votre compte. Nous avons seulement besoin que vous fournissiez votre nom d'utilisateur sur Typesprout et une dEscription du problème. Nous ne vous contacterons pas par des canaux privés en dehors du problème.""
section5.responseTime,"UI string from section5.responseTime",""Из-за того"
section5.title,"UI string from section5.title","5. Τα Δικαιώματά σας και Πληροφορίες Επικοινωνίας"
speedChartAriaLabel,"UI string from speedChartAriaLabel","مخطط اتجاه النتيجة العامة: كلما ارتفعت الخط، كانت الأداء أفضل."
speedChartTitle,"UI string from speedChartTitle","Συνολική Βαθμολογία (Σωστή Ταχύτητα)"
speedChartTooltip,"UI string from speedChartTooltip",""Sumbu Vertikal: Skor Keseluruhan (semakin tinggi"
speedScore,"UI string from speedScore","Συνολική Βαθμολογία: {{score}}"
terms.footer,"UI string from terms.footer","© 2025 Typesprout. Με επιφύλαξη παντός δικαιώματος."
terms.lastUpdated,"UI string from terms.lastUpdated","Viimeksi päivitetty: 21. syyskuuta 2025"
terms.section1.content1,"UI string from terms.section1.content1","ยินดีต้อนรับสู่ Typesprout (ซึ่งต่อไปนี้จะเรียกว่า "บริการ") บริการนี้เป็นโครงการที่ไม่แสวงหาผลกำไรที่ให้บริการฟรี โดยนักพัฒนารายบุคคล มีเป้าหมายเพื่อให้ผู้ใช้ (โดยเฉพาะเด็กและผู้เรียน) ได้มีสภาพแวดล้อมการฝึกพิมพ์ออนไลน์ที่เรียบง่าย"
terms.section1.content2,"UI string from terms.section1.content2"," compris et accepté d'être lié par tous les termes de ces Conditions de Service (ci-après dénommées "cet Accord"). Si vous n'acceptez pas une partie de cet Accord"
terms.section1.title,"UI string from terms.section1.title","1. Γενικές Διατάξεις και Αποδοχή Όρων"
terms.section2.content1,"UI string from terms.section2.content1","Scopul unic al acestui serviciu este de a oferi practică pentru abilitățile de tastare. Nu este un instrument pentru cercetare academică sau educație religioasă. Tot conținutul site-ului este destinat exclusiv acestui scop."
terms.section2.content2,"UI string from terms.section2.content2","لتوفير نص غني للتدريب، تأتي محتويات بنك الأسئلة لهذه الخدمة من مصادر متعددة. نعلن بموجب ذلك:"
terms.section2.content3,"UI string from terms.section2.content3"," completezza o fedeltà a qualsiasi specifica versione della Bibbia di qualsiasi contenuto nel banco domande. Tutti i contenuti devono essere considerati materiale per la pratica di digitazione piuttosto che riferimenti accademici o religiosi precisi. Gli utenti devono comprendere appieno questo prima dell'uso.""
terms.section2.listItem1,"UI string from terms.section2.listItem1","เนื้อหาที่สร้างโดย AI: บทความฝึกหัดบางส่วนถูกวิเคราะห์ รวบรวม หรือสร้างโดยโมเดล AI (เช่น ChatGPT) และมีไว้เพื่อการฝึกพิมพ์เท่านั้น。"
terms.section2.listItem2,"UI string from terms.section2.listItem2"," альтернативный текст может быть сгенерирован моделью ИИ.""
terms.section2.subtitle1,"UI string from terms.section2.subtitle1","Σκοπός Υπηρεσίας:"
terms.section2.subtitle2,"UI string from terms.section2.subtitle2","Πηγή περιεχομένου τράπεζας ερωτήσεων και αποποίηση ευθυνών:"
terms.section2.title,"UI string from terms.section2.title","2. Περιγραφή Υπηρεσίας και Πηγές Περιεχομένου"
terms.section3.content1,"UI string from terms.section3.content1"," non exclusive"
terms.section3.content2,"UI string from terms.section3.content2",""이 서비스의 어떤 부분도 직접적 또는 간접적인 상업적 목적으로 복제"
terms.section3.subtitle1,"UI string from terms.section3.subtitle1","Licență de utilizare personală non-comercială:"
terms.section3.subtitle2,"UI string from terms.section3.subtitle2","Αυστηρά απαγορευμένο για εμπορική χρήση:"
terms.section3.title,"UI string from terms.section3.title","3. Εξουσιοδότηση Χρήσης και Περιορισμοί"
terms.section4.content1,"UI string from terms.section4.content1","Du er ansvarlig for å holde innloggingsinformasjonen din sikker og for alle aktiviteter som skjer under kontoen din."
terms.section4.content2,"UI string from terms.section4.content2"," scripts automatizados ou quAIsquer métodos de trapaça para obter resultados de prática falsos ou prejudicar a justiça do ranking é estritamente proibido. Se tal comportamento for detectado"
terms.section4.subtitle1,"UI string from terms.section4.subtitle1","Ασφάλεια Λογαριασμού:"
terms.section4.subtitle2,"UI string from terms.section4.subtitle2","Απαγορευμένη Κακοποίηση και Απάτη:"
terms.section4.title,"UI string from terms.section4.title","4. Υποχρεώσεις Χρήστη"
terms.section5.content1,"UI string from terms.section5.content1"," 오류 없는 작동 또는 중단 없는 가용성에 대한 명시적 또는 묵시적 보증을 제공하지 않습니다.""
terms.section5.content2,"UI string from terms.section5.content2"," а также не гарантируем постоянное сохранение данных.""
terms.section5.content3,"UI string from terms.section5.content3"," menghentikan"
terms.section5.subtitle1,"UI string from terms.section5.subtitle1"," but I need the text you want translated. Please provide the segments you would like me to translate.""
terms.section5.subtitle2,"UI string from terms.section5.subtitle2","Δεδομένα Αποθηκεύτηκαν:"
terms.section5.subtitle3,"UI string from terms.section5.subtitle3","Δικαίωμα Τερματισμού Υπηρεσίας:"
terms.section5.title,"UI string from terms.section5.title","5. Αποποίηση Ευθυνών και Περιορισμοί Υπηρεσιών"
terms.section6.content,"UI string from terms.section6.content"," die erforderlich sind"
terms.section6.title,"UI string from terms.section6.title","6. Πολιτική Απορρήτου"
terms.section7.content1,"UI string from terms.section7.content1",""Если у вас есть вопросы по этим условиям обслуживания"
terms.section7.title,"UI string from terms.section7.title","7. Πληροφορίες Επικοινωνίας"
terms.section7.warning,"UI string from terms.section7.warning"," что это публичная платформа"
terms.title,"UI string from terms.title","Όροι Χρήσης του Typesprout"
terms.titleSuffix,"UI string from terms.titleSuffix","Όροι Υπηρεσίας"
test.chartDescription,"UI string from test.chartDescription"," sTabilkan akurasi di atas 90%"
test.insightsSummary,"UI string from test.insightsSummary","Αναλυτική Ανάλυση (Τάσεις Ταχύτητας και Ακρίβειας)"
test.metricsTip,"UI string from test.metricsTip","Εξήγηση Ταχύτητας και Ακρίβειας"
test.questionText,"UI string from test.questionText","Textul întrebării (nu poate fi selectat sau copiat)"
test.startMessage,"UI string from test.startMessage"," пожалуйста"
test.title,"UI string from test.title","Δοκιμή Πληκτρολόγησης"
timeSpent,"UI string from timeSpent","Χρόνος που δαπανήθηκε: {{seconds}} δευτερόλεπτα"
title,"UI string from title","Πολιτική Απορρήτου του Typesprout"
titleSuffix,"UI string from titleSuffix","Πολιτική Απορρήτου"
totalQuestionChars,"UI string from totalQuestionChars","Total word count: {{chars}} caractere"
ui.closeHint,"UI string from ui.closeHint","Închide promptul"
ui.later,"UI string from ui.later","Αργότερα"
ui.loginSuggestion,"UI string from ui.loginSuggestion","Vi anbefaler å bruke alternativet "Logg inn med Google" øverst til høyre for å lagre poengene dine og fremdriften; denne nettsiden verdsetter anonymitet og personvern og vil ikke lagre personlig sensitiv informasjon."
ui.string089,"UI string from ui.string089","Vennligst logg inn først."
ui.string090,"UI string from ui.string090","Προσωπικές Πληροφορίες"
ui.string091,"UI string from ui.string091","Επιστροφή στην Αρχική Σελίδα"
ui.string092,"UI string from ui.string092","Πολιτική Απορρήτου"
ui.string093,"UI string from ui.string093","Nu colectăm date personale; datele statistice sunt folosite doar pentru clasamente anonime și feedback de învățare."
ui.string094,"UI string from ui.string094","Tallenna edistymisesi ja historiatietosi vain Google-tililläsi."
ui.string095,"UI string from ui.string095","Τι δεδομένα συλλέγουμε;"
ui.string096,"UI string from ui.string096"," độ chính xác và thời gian luyện tập của bạn. Chúng tôi không thu thập thông tin nhạy cảm cá nhân như tên hoặc emAIl của bạn.""
ui.string097,"UI string from ui.string097","Brug disse data til at give personlig feedback og vise din fremgangsrejse."
ui.string154,"UI string from ui.string154","Όροι Υπηρεσίας"
ui.string155,"UI string from ui.string155","باستخدام هذا الموقع، فإنك توافق على الشروط التالية:"
ui.string156,"UI string from ui.string156","Είσαι υπεύθυνος για τη δική σου μάθηση και πρόοδο."
ui.string157,"UI string from ui.string157","Τι περιέχουν οι όροι;"
ui.string158,"UI string from ui.string158"," không chia sẻ nội dung không phù hợp và tôn trọng người dùng khác.""
ui.string200,"UI string from ui.string200","Vi anbefaler å bruke alternativet "Logg inn med Google" øverst til høyre for å lagre poengene og fremgangen din; dette nettstedet verdsetter anonymitet og personvern og vil ikke lagre personlig sensitiv informasjon."
ui.string201,"UI string from ui.string201","Αργότερα"
ui.string202,"UI string from ui.string202","Husk: Du har ikke øvd i dag! Beveg hendene dine hver dag for å hjelpe det lille treet med å vokse sterkere."
upgradeRule1,"UI string from upgradeRule1","Εξασκηθείτε στην πληκτρολόγηση για τουλάχιστον 10 λεπτά κάθε μέρα."
upgradeRule2,"UI string from upgradeRule2","Διατηρήστε την ακρίβεια πάνω από 80%"
upgradeRule3,"UI string from upgradeRule3","Ολοκληρώστε τουλάχιστον 3 δοκιμές πληκτρολόγησης κάθε μέρα."
upgradeRule4,"UI string from upgradeRule4","Χρησιμοποιήστε τη σωστή τοποθέτηση δακτύλων"
upgradeRule5,"UI string from upgradeRule5","Εξασκηθείτε σε διάφορα επίπεδα δυσκολίας"
upgradeRule6,"UI string from upgradeRule6","Διατηρήστε τη συνέπεια καθημερινής πρακτικής"
upgradeRules,"UI string from upgradeRules","Κανόνες Αναβάθμισης"
ui.string203,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Σήμερα: {current}/{total} (Υπολειπόμενα {remaining})"
ui.string204,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Περίπου {minutes} λεπτά"
ui.string205,"Complete Traditional Chinese sentence with variable placeholders for AI translation"," fino a ×2) × (0.5 + 0.5 × precisione)).""
ui.string206,"Complete Traditional Chinese sentence with variable placeholders for AI translation"," almeno +1.""
ui.string207,"Complete Traditional Chinese sentence with variable placeholders for AI translation"," чтобы достичь лимита.""
ui.string208,"Complete Traditional Chinese sentence with variable placeholders for AI translation"," at lalaki ang puno!""
ui.string209,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Σύνοψη Σήμερα"
ui.string210,"Complete Traditional Chinese sentence with variable placeholders for AI translation",""Điểm được tạo ra như thế nào? Chúng dựa trên bài kiểm tra hôm nay và liên quan đến thời gian nhập liệu hiệu quả"
ui.string211,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Αποτελεσματική είσοδος: {minutes} λεπτά · Πόντοι που κερδήθηκαν: {current} / {total} (Υπολειπόμενα {remaining})"
ui.string212,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Το μικρό μου δέντρο"
ui.string213,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Επαναϋπολογισμός δραστηριότητας και σταδίου"
ui.string214,"Complete Traditional Chinese sentence with variable placeholders for AI translation"," tính toán số phút nhập liệu hiệu quả và cập nhật danh sách hoạt động cũng như giai đoạn hiện tại.""
ui.string215,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Διάγραμμα Ανάπτυξης"
ui.string216,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Διαφορετικά στάδια εμφάνισης και συνθήκες ξεκλειδώματος (εικόνα)."
ui.string217,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Στάδιο {number}"
ui.string218,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Αναδυόμενος・Προεπιλεγμένη Εμφάνιση"
ui.string219,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Ανάπτυξε ένα δεύτερο φύλλο"
ui.string220,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Φυλλική υπερπλασία"
ui.string221,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Κλαδιά επεκτείνονται + πλευρικά κλαδιά"
ui.string222,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Ο θρόισμα του μικρού δέντρου έχει σχηματιστεί (καρποφορία)"
ui.string223,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Ενεργός τις τελευταίες {days} ημέρες"
ui.string224,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Ενεργές ημέρες: {active}/{total}"
ui.string225,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Registrer de "point""
ui.string226,"Complete Traditional Chinese sentence with variable placeholders for AI translation"," используемые для стимулирования роста маленького дерева.""
ui.string227,"Complete Traditional Chinese sentence with variable placeholders for AI translation"," тем легче будет приносить плоды.""
ui.string228,"Complete Traditional Chinese sentence with variable placeholders for AI translation","تظهر القائمة أدناه كل سجل من الإنجازات، مما يسهل عليك تتبع جهودك."
ui.string229,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Πρόσφατες Εγγραφές"
ui.string230,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Ερώτηση {current}/{total} · Χρόνος περιορισμού {seconds} δευτερόλεπτα · Χαρακτήρες σε αυτή την ερώτηση {chars} · Σύνολο {correct}/{total}"
ui.string231,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Venligst skriv teksten nedenfor"
ui.string232,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Φόρτωση..."
ui.string233,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Επιτρέψτε το Backspace"
ui.string234,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Άνοιγμα/Κλείσιμο Χώρου・R Επαναφορά・F Εστίαση・Enter Υποβολή Κύριου Θέματος"
ui.string235,"Complete Traditional Chinese sentence with variable placeholders for AI translation",""Не удалось получить вопросы или данные пустые: автоматически переключено на локальный резервный банк вопросов (не влияет на ответы). Чтобы использовать облачный банк вопросов"
ui.string236,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Ακρίβεια {percent}% · Συνολική Βαθμολογία {score}"
ui.string237,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Σωστοί χαρακτήρες/Σύνολο χαρακτήρων {correct}/{total}"
ui.string238,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Κάθε εισαγωγή θα γίνει ρευστή."
ui.string239,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Σωστές συνήθειες πληκτρολόγησης"
ui.string240,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Μέσος Όρος Βαθμολογίας ({days} ημέρες)"
ui.string241,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Συνολικοί χαρακτήρες ({days} ημέρες)"
ui.string242,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Εγώ vs Ολόκληρος ο ιστότοπος ({days} ημέρες)"
ui.string243,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Διάρκεια {seconds} δευτερόλεπτα"
ui.string244,"Complete Traditional Chinese sentence with variable placeholders for AI translation","Ακρίβεια {percent}%"
ui.string245,"Complete Traditional Chinese sentence with variable placeholders for AI translation",""Ogni test è calcolato in base a "Tempo × Velocità × Precisione" (minuti base × (velocità/obiettivo"
ui.string246,"Complete Traditional Chinese sentence with variable placeholders for AI translation"," mindestens +{points} Punkte alle {interval} Sekunden (kann angesammelt werden); mindestens +{points2}"
ui.string247,"Complete Traditional Chinese sentence with variable placeholders for AI translation",""Apa itu "Hitung Ulang Aktivitas dan Tahap"? Ini akan membaca kembali catatan tes Anda dari {days} hari terakhir"
